slice,n,A4,S4,A8,delta_a4_s4,delta_a8_s4,a4_s4_ci95_low,a4_s4_ci95_high,a8_s4_ci95_low,a8_s4_ci95_high
overall,9605,0.27013710141181946,0.27537739276885986,0.27794548869132996,-0.005240291357040405,0.0025680959224700928,-0.009482297769475335,-0.0012104099200780296,-0.003384435234627771,0.005153491320972704
level_1,5730,0.3146596848964691,0.3204188346862793,0.32059335708618164,-0.005759149789810181,0.00017452239990234375,-0.010823088460423038,-0.0005764882312942447,-0.004199470271896535,0.0062133562512874255
level_2,3404,0.20818644762039185,0.2134743332862854,0.22042696177959442,-0.005287885665893555,0.006952628493309021,-0.014612756721505919,-0.000942503806744169,-0.003961570491999623,0.010223461365879677
level_3,471,0.17622080445289612,0.1748053878545761,0.17480537295341492,0.0014154165983200073,-1.4901161193847656e-08,-0.011021505352309953,0.025537633975987795,-0.015232974699428005,0.017096774496378437
tuple_type_0_hop,2333,0.31218743324279785,0.3179025650024414,0.32304614782333374,-0.005715131759643555,0.005143582820892334,-0.0133417506598764,-5.611668557229668e-05,-0.0022446691726494316,0.011854657318806808
tuple_type_1_hop,2146,0.2671637237071991,0.28036653995513916,0.27803662419319153,-0.013202816247940063,-0.002329915761947632,-0.020210993262643882,-0.004886174205274862,-0.01091985905885299,0.004472823820797223
tuple_type_2_hop,2555,0.2196999341249466,0.220482736825943,0.23039789497852325,-0.0007828027009963989,0.009915158152580261,-0.006465489805377091,0.008680888499262811,0.0028963456456868484,0.018334612471228987
tuple_type_and,1639,0.287166953086853,0.2881838381290436,0.29062435030937195,-0.0010168850421905518,0.002440512180328369,-0.010649217451830109,0.008596355498433572,-0.007912069278051525,0.011354887916823366
tuple_type_same_attr,705,0.3082742393016815,0.31442078948020935,0.2950354516506195,-0.006146550178527832,-0.019385337829589844,-0.018566408300297675,0.008664140497719195,-0.03002891712938352,-2.9283355679534583e-05
tuple_type_same_attr_two_hop,227,0.1923641562461853,0.19530102610588074,0.20411160588264465,-0.0029368698596954346,0.008810579776763916,-0.023927392714684553,0.026677668352823446,-0.01292629303908584,0.04097909734833358
