slice,n,A4,S4,A8,delta_a4_s4,delta_a8_s4,a4_s4_ci95_low,a4_s4_ci95_high,a8_s4_ci95_low,a8_s4_ci95_high
overall,1142,0.08114419132471085,0.07326328754425049,0.07910099625587463,0.007880903780460358,0.0058377087116241455,0.0005837714415974915,0.015178048983216286,-0.0005837713251821697,0.012259194627404213
negation,457,0.07293945550918579,0.07439824193716049,0.08096279948949814,-0.001458786427974701,0.0065645575523376465,-0.012399707920849323,0.010211523622274399,-0.0036469735205173492,0.018234863877296448
non_negation,685,0.08661800622940063,0.07250608503818512,0.07785888761281967,0.014111921191215515,0.005352802574634552,0.0048661804758012295,0.023357663303613663,-0.0024330897722393274,0.013138686306774616
length_Q1,294,0.10204082727432251,0.09863946586847305,0.09977324306964874,0.003401361405849457,0.0011337772011756897,-0.009070293977856636,0.0158730149269104,-0.011337868869304657,0.013633788353763108
length_Q2,281,0.06880190223455429,0.06761565804481506,0.07117438316345215,0.0011862441897392273,0.003558725118637085,-0.011862397193908691,0.014234877191483974,-0.00830367673188448,0.015421115793287754
length_Q3,306,0.06644880026578903,0.05664488673210144,0.06644880026578903,0.009803913533687592,0.009803913533687592,-0.005446623545140028,0.02505446788854897,-0.004357298836112022,0.025054465979337692
length_Q4,261,0.08812260627746582,0.07024265825748444,0.07918262481689453,0.017879948019981384,0.008939966559410095,0.0025542788207530975,0.03448275849223137,-0.0025542783550918102,0.02043422870337963
distractors_Q1,468,0.09971511363983154,0.09045584499835968,0.09900284558534622,0.009259268641471863,0.008547000586986542,-0.0035612527281045914,0.022079773247241974,-0.002849001670256257,0.01994301937520504
distractors_Q2,230,0.09275362640619278,0.08985506743192673,0.0942029058933258,0.0028985589742660522,0.004347838461399078,-0.014492752961814404,0.02028985694050789,-0.008695651777088642,0.018840577453374863
distractors_Q3,253,0.06060606241226196,0.04479578137397766,0.05270092561841011,0.015810281038284302,0.00790514424443245,0.0026350461412221193,0.030303027480840683,-0.003952569793909788,0.01976284570991993
distractors_Q4,191,0.04886562377214432,0.04886561632156372,0.04712042212486267,7.450580596923828e-09,-0.0017451941967010498,-0.010471204295754433,0.010471204295754433,-0.015706805512309074,0.01221640408039093
